"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 16 21:37:04 CST 2023","Mon Jan 16 21:37:05 CST 2023","255","TestSuits.chandao.p01_http_cd","test_http_cd","TestDashboardPage","","","二级优先级",""
"passed","Mon Jan 16 21:37:02 CST 2023","Mon Jan 16 21:37:03 CST 2023","599","TestSuits.chandao.p01_http_cd","test_http_cd","TestLogin","","","test_login[case_data0]",""
"passed","Mon Jan 16 21:37:05 CST 2023","Mon Jan 16 21:37:06 CST 2023","263","TestSuits.chandao.p01_http_cd","test_http_cd","TestDashboardPage","","","一级优先级",""
"passed","Mon Jan 16 21:37:03 CST 2023","Mon Jan 16 21:37:03 CST 2023","222","TestSuits.chandao.p01_http_cd","test_http_cd","TestLogin","","","test_login[case_data2]",""
"passed","Mon Jan 16 21:37:06 CST 2023","Mon Jan 16 21:37:06 CST 2023","0","TestSuits.chandao.p01_http_cd","test_http_cd","TestFF","","","test_bbb",""
"passed","Mon Jan 16 21:37:03 CST 2023","Mon Jan 16 21:37:03 CST 2023","565","TestSuits.chandao.p01_http_cd","test_http_cd","TestLogin","","","test_login[case_data1]",""
"passed","Mon Jan 16 21:37:04 CST 2023","Mon Jan 16 21:37:04 CST 2023","251","TestSuits.chandao.p01_http_cd","test_http_cd","TestDashboardPage","","","三级优先级",""
"passed","Mon Jan 16 21:37:06 CST 2023","Mon Jan 16 21:37:06 CST 2023","0","TestSuits.chandao.p01_http_cd","test_http_cd","TestFF","","","test_aaa",""
